Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Pengeringan Ikan,"3,5",48,2,2012,?pm=TBR4MG9V3/RnZSGrbO2kEg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 3,50 Juta","Rp. 48,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 8,00 Juta",6
Pengiriman Kambing,"83,3","33,25",13,2011,?pm=N6TRxKiJlo5Ef5wa5TGMww==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,13,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 83,30 Juta","Rp. 33,25 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 50,00 Juta",7
Pengolahan Kayu Api,6,48,1,2014,?pm=qbQVtUp2uJH7rXM4KL+kfQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 6,00 Juta","Rp. 48,00 Juta",- %/Tahun,"Rp. 4,00 Juta","Rp. 4,00 Juta",2
PENGUMPUL SAWIT,279,2.117,4,2011,?pm=cGTCf+iEXbcTUAzKxihyVA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Retail,"Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %",Rendah,"Rp. 279,00 Juta","Rp. 2.117,00 Juta",10 %/Tahun,"Rp. 0,00 Juta","Rp. 150,00 Juta",7
Penjualan ,98,445,1,2011,?pm=FsUSVqUZwSNnUF/BZwqD+w==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   80,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   20,00 %",Sedang,"Rp. 98,00 Juta","Rp. 445,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 75,00 Juta",5
Penyembelihan Sapi,685,4,4,2009,?pm=neS1e7A9+z0wi1A0WCYjIQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 685,00 Juta","Rp. 4.000,00 Juta",0 %/Tahun,"Rp. 0,00 Juta","Rp. 0,00 Juta",-
Pepaya,19,314,5,2012,?pm=UZjf+3Nc5mJ3iiC6okNRnQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5,Distributor,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 19,00 Juta","Rp. 314,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 15,00 Juta",5
Perdagangan,8,"133,75",1,2011,?pm=7sAi8wVmwhk9wSDuG/+42A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 8,00 Juta","Rp. 133,75 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 0,00 Juta",4
Perdagangan Ikan,87,317,1,2011,?pm=2DBrfUZ8Hshzn4BJgONstw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   80,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   20,00 %",Sedang,"Rp. 87,00 Juta","Rp. 317,00 Juta",30 %/Tahun,"Rp. 10,00 Juta","Rp. 50,00 Juta",7
Perikanan,"31,2",15,2,2014,?pm=UV1DIrCnRtIqzeBjmFsK1g==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 31,20 Juta","Rp. 15,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 24,50 Juta",4
PERIKANAN,117,26,2,2011,?pm=/BzefVlB71q02CeKmRaB6Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 117,00 Juta","Rp. 26,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 90,00 Juta",5
PERIKANAN,54,72,3,2011,?pm=LN83fmoFWkgIMknuQQfM/A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 54,00 Juta","Rp. 72,00 Juta",5 %/Tahun,"Rp. 5,00 Juta","Rp. 48,00 Juta",5
PERIKANAN,68,0,2,2011,?pm=pu899qcxJK35okVgNd4/qQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 68,00 Juta","Rp. 0,00 Juta",5 %/Tahun,"Rp. 5,00 Juta","Rp. 60,00 Juta",3
Perikanan,29,19,1,2011,?pm=a3xv7Um/6aHaKkRSyA981w==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   90,00 %","Tidak Ada   10,00 %",Rendah,"Rp. 29,00 Juta","Rp. 19,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 26,00 Juta",6
Perikanan,"7,3","6,5",2,2018,?pm=W9lnqtRDt3ErFuoFXooqUA==&mp=tFF9KAXBbci/UefzhiAg3g==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 7,30 Juta","Rp. 6,50 Juta",- %/Tahun,"Rp. 4,75 Juta","Rp. 50,00 Juta",4
Perikanan,"18,9",52,2,2018,?pm=yBb1jo897LzR2Ucz0Y1GTQ==&mp=tFF9KAXBbci/UefzhiAg3g==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 18,90 Juta","Rp. 52,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 50,00 Juta",4
PERKEBUNAN,75,27,1,2011,?pm=C5Te4WakJxgnBQYuuuk5zg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 75,00 Juta","Rp. 27,00 Juta",5 %/Tahun,"Rp. 5,00 Juta","Rp. 70,00 Juta",5
PERKEBUNAN,132,36,3,2011,?pm=Lp6Mk4LpGqK7FCHPRW8qgA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 132,00 Juta","Rp. 36,00 Juta",15 %/Tahun,"Rp. 5,00 Juta","Rp. 110,00 Juta",5
PERKEBUNAN,32,20,1,2011,?pm=l3Q7DWVvvUYficaTYDTygw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   0,00 %",Tinggi,"Rp. 32,00 Juta","Rp. 20,00 Juta",5 %/Tahun,"Rp. 10,00 Juta","Rp. 70,00 Juta",5
PERKEBUNAN,82,7,1,2011,?pm=a9BPDMEcUrKp2bO0EwCmHg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 82,00 Juta","Rp. 7,00 Juta",5 %/Tahun,"Rp. 5,00 Juta","Rp. 28,00 Juta",5
Perkebunan Karet,"22,5",9,1,2014,?pm=4kARD7cKc9cXw4CeMceHUA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 22,50 Juta","Rp. 9,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 500,00 Juta",4
Perkebunan Salak,5,6,1,2015,?pm=SpT96xtlRKY+052jn+VicA==&mp=Q47xnX4Fmgxfelhgew2rrQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 5,00 Juta","Rp. 6,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 70,00 Juta",4
Perkebunan Sawit,143,360,4,2016,?pm=GjME0bQ0evf6cnPBrwMCVA==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Distributor,"Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %",Sedang,"Rp. 143,00 Juta","Rp. 360,00 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 60,00 Juta",4
Perkebunan Terong,"27,6","13,5",2,2014,?pm=pUMJFxcIgJXD+QEmmGxIQA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 27,60 Juta","Rp. 13,50 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 17,00 Juta",4
Perkebunan Timun,36,9,3,2014,?pm=iLyMasDsJrLvEMWchQC9AA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 36,00 Juta","Rp. 9,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 5,00 Juta",3
Perkerbunan Kangkung,"23,75",27,2,2014,?pm=N7zXc+8btApmMZSVKmnMXQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 23,75 Juta","Rp. 27,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 14,00 Juta",3
PERTANIAN,118,30,3,2011,?pm=ASKfBlBamWAzkZVI7/p8JQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %",Sedang,"Rp. 118,00 Juta","Rp. 30,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 100,00 Juta",5
PERTANIAN,10.85,260,1,2013,?pm=w1QWZ6oCmqVKo2JABMqShw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail dan Distributor,"Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %",Rendah,"Rp. 10.850,00 Juta","Rp. 260,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 108,00 Juta",5
Pertanian,65,"49,2",3,2016,?pm=6wPPhUi3AXTeMrZxwR70nQ==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %",Tinggi,"Rp. 65,00 Juta","Rp. 49,20 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 85,00 Juta",4
Pertanian,336,78,2,2016,?pm=eYQ8Srg0rcxQxJIxUv6THQ==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 336,00 Juta","Rp. 78,00 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 15,00 Juta",5
Pertanian,1.026,520,2,2018,?pm=j3hlRk3PiYc7tQs0ik9AXg==&mp=tFF9KAXBbci/UefzhiAg3g==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 1.026,00 Juta","Rp. 520,00 Juta",- %/Tahun,"Rp. 3,00 Juta","Rp. 520,00 Juta",6
Pertanian,"26,2","18,2",2,2018,?pm=0+0BLqwHyuE7m9swUQxaaw==&mp=tFF9KAXBbci/UefzhiAg3g==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 26,20 Juta","Rp. 18,20 Juta",- %/Tahun,"Rp. 9,50 Juta","Rp. 2.010,00 Juta",6
Pertanian,174,143,2,2018,?pm=tk1Y9q9tBiL5Q0Y27ik7+w==&mp=tFF9KAXBbci/UefzhiAg3g==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 174,00 Juta","Rp. 143,00 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 310,00 Juta",4
PERTANIAN ,67,16,2,2011,?pm=gb1lrYNHNGC62lH2rVt6mw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 67,00 Juta","Rp. 16,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 60,00 Juta",5
Pertanian Bayam,"28,5",60,3,2014,?pm=5NtSHUCprlGhbzN6b3Mh/g==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 28,50 Juta","Rp. 60,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 17,00 Juta",3
Pertanian Sawah,64,27,5,2013,?pm=XPoSWbJieGDMb32rGws4kw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Tinggi,"Rp. 64,00 Juta","Rp. 27,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 45,00 Juta",3
Pertanian Sayuran,5,1,3,2011,?pm=RlR/Krifi75XoGo535yyMA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 5,00 Juta","Rp. 1,00 Juta",5 %/Tahun,"Rp. 10,00 Juta","Rp. 75,00 Juta",5
Pertanian Sayuran,652,7,2,2011,?pm=XENjH1A/A5nnRhWEb/6NkA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 652,00 Juta","Rp. 7,00 Juta",5 %/Tahun,"Rp. 5,00 Juta","Rp. 9,00 Juta",4
Pertanian Sayuran,501,14,3,2011,?pm=2b89b119CNCbmTmeGtFrbA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 501,00 Juta","Rp. 14,00 Juta",10 %/Tahun,"Rp. 2,00 Juta","Rp. 0,00 Juta",5
PETANI,188,9,5,2011,?pm=aE+FQ22pnQ/f7Do/4+4hfg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5,Distributor,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 188,00 Juta","Rp. 9,00 Juta",5 %/Tahun,"Rp. 5,00 Juta","Rp. 80,00 Juta",6
PETANI,27,11,1,2011,?pm=cL/MkTADe25xHSyO8tPHuA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 27,00 Juta","Rp. 11,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 15,00 Juta",4
Petani Cabe,"53,5",18,2,2014,?pm=aDelWC1w7tg1Zt/vRWxbiQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail dan Distributor,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 53,50 Juta","Rp. 18,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 31,00 Juta",4
Petani Coklat,160,65,2,2012,?pm=SL2OzOX8+qiR2bp196U0iQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 160,00 Juta","Rp. 65,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 108,00 Juta",4
Petani Gambas,"71,03",17,4,2014,?pm=7hWxUQ5kPmkI8kMsbzTn8Q==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 71,03 Juta","Rp. 17,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 50,00 Juta",3
Petani Kangkung,19,15,3,2014,?pm=ti0OCb7VDoHagCCSrytCmQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 19,00 Juta","Rp. 15,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 10,00 Juta",3
Petani Karet,88,15,1,2012,?pm=DAikxmIRioUxy05zaxwTMw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 88,00 Juta","Rp. 15,00 Juta",20 %/Tahun,"Rp. 4,00 Juta","Rp. 87,00 Juta",5
Petani Karet,182,36,2,2012,?pm=odEBX1wy5YgbOK8+yHDsPQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 182,00 Juta","Rp. 36,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 180,00 Juta",4
Petani Karet,111,18,1,2012,?pm=TH64+6heBp0Yz2d5k1ojVA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 111,00 Juta","Rp. 18,00 Juta",20 %/Tahun,"Rp. 3,00 Juta","Rp. 110,00 Juta",4
Petani Karet,32,20,1,2012,?pm=7Ct7paEHiam/JKGrZlNQgA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 32,00 Juta","Rp. 20,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 30,00 Juta",3
Petani Karet,101,15,1,2012,?pm=xXNCxV1oQW8Vm9YVN4K/5g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 101,00 Juta","Rp. 15,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 100,00 Juta",3
Petani Karet,201,20,2,2012,?pm=12XOCoeEZDN/eyJQlJw1Qw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 201,00 Juta","Rp. 20,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 200,00 Juta",2
Petani Karet,151,24,1,2012,?pm=uh4QIf5RqQ0a4l2IGME8sw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 151,00 Juta","Rp. 24,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 150,00 Juta",2
Petani Karet,51,15,2,2012,?pm=SwWxiERV0mvA2cCHZR+wHQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 51,00 Juta","Rp. 15,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 50,00 Juta",3
Petani Karet,259,26,1,2012,?pm=HjSY7dYtNDxoHslWXgbZUw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 259,00 Juta","Rp. 26,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 208,00 Juta",5
Petani Karet,101,15,2,2012,?pm=TLPWuHoe9xCV8U+YoHdinA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 101,00 Juta","Rp. 15,00 Juta",20 %/Tahun,"Rp. 2,00 Juta","Rp. 100,00 Juta",3
Petani Karet,302,40,1,2012,?pm=AxLpipQQ7yuOHkuula/X2Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 302,00 Juta","Rp. 40,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 300,00 Juta",3
Petani Karet,106,35,1,2012,?pm=zpj/Mj44Xeg9WeII2cSF/g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 106,00 Juta","Rp. 35,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 20,00 Juta",1
