Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Nais Kuning Mama Lusi,Nasi Kuning,"23,3",39,2,2015,"['_pengusahadetail(""?pm=tpZigzFy1T126FIKDKui8w==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Nais Kuning Mama Lusi"")']"
 Warung Lamongan,Warung Makan,"9,8",540,1,2016,"['_pengusahadetail(""?pm=d+NTcNeUYuZcBUJi9NVywA==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Warung Lamongan"")']"
 Warung Barhan,Kuliner,"206,5","48,9",3,2016,"['_pengusahadetail(""?pm=lV0iFSl/zXJZgByfeOzG4A==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Warung Barhan"")']"
 Bakso Sabar Keliling,Bakso,"1,5",36,1,2016,"['_pengusahadetail(""?pm=zEpn7rWGvnV7YMFyiZpfBQ==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Bakso Sabar Keliling"")']"
 Bakso Taman Lembayung,Makanan Bakso,5,4,2,2016,"['_pengusahadetail(""?pm=nvrHis0KG4lqhNs5SPRMZQ==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Bakso Taman Lembayung"")']"
 Depot Murni,Bakso,"18,1",54,1,2016,"['_pengusahadetail(""?pm=HSNQvc305PnKKXVfbQSFSw==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Depot Murni"")']"
 Warung Ervina,Warung Makan,"985,2",432,3,2016,"['_pengusahadetail(""?pm=MswnMTHWBJbYQEvMNA5CCQ==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Warung Ervina"")']"
 Batagor Ikan 21,Batagor,"23,65",216,2,2016,"['_pengusahadetail(""?pm=VXhw+Yd0/gTJ2Sgf9A1Baw==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Batagor Ikan 21"")']"
 Depot Mie Fitri,Makanan,24,360,3,2016,"['_pengusahadetail(""?pm=5GmW41DX7OVH7QyHGbxopg==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Depot Mie Fitri"")']"
 UD Kuliner Tunas Subur,Warung Makan,"42,5",720,2,2016,"['_pengusahadetail(""?pm=S32DHOYYQOBefmoVx3t79Q==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""UD Kuliner Tunas Subur"")']"
 Warung Sekar,Warung Makan,198,144,1,2016,"['_pengusahadetail(""?pm=rTsHc1mu7jqCIbPBqHfehw==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Warung Sekar"")']"
 Terapi Kelapa Bakar 17+,Kelapa Bakar,"251,82","19,2",1,2016,"['_pengusahadetail(""?pm=UqW5BlPPpTRsLjm/Qum6Dw==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Terapi Kelapa Bakar 17+"")']"
 Warung Kopi,Warung Kopi,12,85,2,2014,"['_pengusahadetail(""?pm=iWLwM/luhLWLfTakyNf9bA==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Warung Kopi"")']"
 Warung Roni,Warung Nasi,12,55,1,2014,"['_pengusahadetail(""?pm=mo6huMrLMA/BM/+gl8LGhA==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Warung Roni"")']"
 Cappucino Cincau,Penjualan Cappucino Cincau,48,40,1,2014,"['_pengusahadetail(""?pm=Y8/jCmvFk/eJWribQymUPw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Cappucino Cincau"")']"
 Nasi Gemuk,Penjualan Nasi Gemuk,16,72,1,2014,"['_pengusahadetail(""?pm=3ni8aPyzCCNcZwtmqUm3Fw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Nasi Gemuk"")']"
 Empek-Empek Hendra,Penjualan Empek-Empek,"7,7",108,1,2014,"['_pengusahadetail(""?pm=tCBGvZqOuMnxMwGsHxcj2w==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Empek-Empek Hendra"")']"
 Warung Gado-Gado Ibu Siti Kebumen,Warung  Gado-Gado,"22,5",50,1,2014,"['_pengusahadetail(""?pm=mBn51x1k9Ud6a7wu6ecYXg==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Warung Gado-Gado Ibu Siti Kebumen"")']"
 Pempek Bakar Sidat,Warung Pempek Bakar,"13,5",12,2,2014,"['_pengusahadetail(""?pm=TgrD+LUP2KSb0R10oMQz3A==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Pempek Bakar Sidat"")']"
 Dhilkiran 77,Manufaktur,"61,35","50,7",4,2018,"['_pengusahadetail(""?pm=/jKmoADU964v9GzX8GKwHw==&mp=tFF9KAXBbci/UefzhiAg3g=="",""Dhilkiran 77"")']"
 Warung Marten,Manufaktur,"177,5",364,4,2018,"['_pengusahadetail(""?pm=fkvsFAtqpw8Cmqb9sGKLUQ==&mp=tFF9KAXBbci/UefzhiAg3g=="",""Warung Marten"")']"
 Sasha Burger,Penjual Burger,"719,49",10,1,2015,"['_pengusahadetail(""?pm=EmsCpA/F8sB5kuyAte3Ghw==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Sasha Burger"")']"
 Es Kelapa Sri,Es Kelapa,"7,5",25,1,2014,"['_pengusahadetail(""?pm=sWavkbrt3Y0A8VKDbr9Esg==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Es Kelapa Sri"")']"
 Rumah Makan Etam,Ikan Bakar,"46,5",810,6,2016,"['_pengusahadetail(""?pm=QPdHVdf5MSIyiv2lHhyoFw==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Rumah Makan Etam"")']"
 Jualan Es,Jualan Es,10,36,1,2014,"['_pengusahadetail(""?pm=vnssx6blS++esqUy026tZA==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Jualan Es"")']"
 Warung Nasi Gemuk Aina,Warung Nasi Gemuk,"1,6","90,72",1,2014,"['_pengusahadetail(""?pm=ujG67U7fMlqzxi3fCcnKyQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Warung Nasi Gemuk Aina"")']"
 Pembuatan Pempek,Pembuatan Pempek,"8,2","93,6",2,2014,"['_pengusahadetail(""?pm=D5jXnwbYSr7s67agJ3cIFQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Pembuatan Pempek"")']"
 Warung Soto Sederhana,Warung Soto Ayam,13,54,6,2014,"['_pengusahadetail(""?pm=7sQY7zbiOXZE42RZo6Syog==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Warung Soto Sederhana"")']"
 Kios Ibu Siti,Penyedia Makan Dan Minum,9,"17,16",1,2016,"['_pengusahadetail(""?pm=q0dERQwl8WWr0fvRMEFhOQ==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Kios Ibu Siti"")']"
 Gado-Gado Junainiah,Makanan,"22,35",108,1,2014,"['_pengusahadetail(""?pm=jhuREicZsCzXV9FJSxr8Ng==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Gado-Gado Junainiah"")']"
 Es Campur Cirebon,Minuman,"13,8","46,8",1,2014,"['_pengusahadetail(""?pm=H02kpG58RYTGGNx/gMKmMQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Es Campur Cirebon"")']"
 Warung Uni,Menjual Makanan Minuman,"330,5",40,1,2014,"['_pengusahadetail(""?pm=uG4Om73Jcx2gni8ithAyyg==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Warung Uni"")']"
